incident_id,event_timestamp,service_name,gcp_region,owning_team,severity,root_cause,alert_count,duplicate_alerts,p95_latency_ms,error_rate_pct,cpu_utilization_pct,memory_utilization_pct,deployment_within_2h,customer_impact_score,mttr_minutes,escalated
inc-000092,2026-01-01T10:37:00+00:00,inventory,us-east1,payments,medium,bad_deploy,29,9,142,7.903,60.08,83.06,1,40.31,80,0
inc-000093,2026-01-01T10:44:00+00:00,checkout,us-central1,backend,high,dependency_timeout,33,10,950,0.748,50.42,79.28,0,40.84,98,1
inc-000094,2026-01-01T10:51:00+00:00,search,asia-south1,payments,high,database_latency,23,13,1045,0.962,26.12,44.31,0,39.36,57,1
inc-000095,2026-01-01T10:58:00+00:00,inventory,asia-south1,backend,high,traffic_spike,40,8,351,1.453,71.36,61.98,0,31.13,105,1
inc-000096,2026-01-01T11:05:00+00:00,payments,us-east1,payments,low,traffic_spike,11,6,130,0.618,66.07,41.18,0,10.05,39,0
inc-000097,2026-01-01T11:12:00+00:00,search,us-central1,ml-platform,medium,database_latency,14,4,471,0.0,49.79,68.03,0,18.07,58,0
inc-000098,2026-01-01T11:19:00+00:00,recommendations,us-east1,backend,low,traffic_spike,9,5,164,0.53,66.35,61.96,0,9.74,19,0
inc-000099,2026-01-01T11:26:00+00:00,inventory,asia-south1,payments,medium,dependency_timeout,12,4,744,1.109,40.24,78.01,0,27.33,39,0
inc-000100,2026-01-01T11:33:00+00:00,user-profile,us-east1,backend,medium,database_latency,6,1,506,0.921,73.11,75.64,0,18.11,33,0
inc-000101,2026-01-01T11:40:00+00:00,inventory,us-central1,ml-platform,low,dependency_timeout,8,1,710,1.245,48.56,77.99,0,25.09,37,0
inc-000102,2026-01-01T11:47:00+00:00,payments,us-central1,platform,low,bad_deploy,5,0,149,11.583,68.73,71.2,1,40.72,58,1
inc-000103,2026-01-01T11:54:00+00:00,checkout,europe-west1,platform,high,database_latency,34,3,865,1.921,50.59,80.92,0,42.69,115,1
inc-000104,2026-01-01T12:01:00+00:00,inventory,europe-west1,backend,critical,traffic_spike,95,18,127,1.033,47.72,98.29,0,49.02,328,1
inc-000105,2026-01-01T12:08:00+00:00,payments,asia-south1,payments,critical,quota_exhaustion,98,59,103,9.992,76.95,64.42,0,76.65,160,1
inc-000106,2026-01-01T12:15:00+00:00,inventory,us-central1,backend,high,dependency_timeout,44,21,463,0.0,75.38,63.8,0,31.38,150,1
inc-000107,2026-01-01T12:22:00+00:00,user-profile,europe-west1,payments,critical,bad_deploy,108,51,217,6.933,44.51,69.05,1,74.82,337,1
inc-000108,2026-01-01T12:29:00+00:00,checkout,us-east1,backend,high,bad_deploy,45,28,132,11.746,62.62,81.64,1,58.79,156,1
inc-000109,2026-01-01T12:36:00+00:00,checkout,asia-south1,ml-platform,high,traffic_spike,33,15,106,1.45,74.76,65.27,1,21.85,117,1
inc-000110,2026-01-01T12:43:00+00:00,payments,europe-west1,platform,low,bad_deploy,12,6,201,7.358,71.68,74.92,1,32.5,48,0
inc-000111,2026-01-01T12:50:00+00:00,checkout,us-east1,payments,high,database_latency,47,16,1027,1.087,67.07,84.02,0,50.09,188,1
inc-000112,2026-01-01T12:57:00+00:00,inventory,us-east1,ml-platform,medium,database_latency,28,11,673,1.105,83.91,58.8,0,32.74,89,0
inc-000113,2026-01-01T13:04:00+00:00,inventory,asia-south1,backend,high,database_latency,16,3,978,1.147,79.92,81.54,1,35.09,58,1
inc-000114,2026-01-01T13:11:00+00:00,recommendations,us-east1,sre,medium,database_latency,13,1,570,0.663,45.26,75.24,0,22.09,46,0
inc-000115,2026-01-01T13:18:00+00:00,user-profile,asia-south1,backend,medium,traffic_spike,22,7,215,0.93,29.04,78.65,0,18.07,58,0
inc-000116,2026-01-01T13:25:00+00:00,payments,europe-west1,payments,medium,traffic_spike,16,9,164,1.71,67.15,84.24,0,16.43,35,0
inc-000117,2026-01-01T13:32:00+00:00,checkout,asia-south1,ml-platform,medium,traffic_spike,23,11,183,1.051,72.72,75.53,0,18.08,44,0
inc-000118,2026-01-01T13:39:00+00:00,payments,us-east1,payments,low,database_latency,7,2,435,1.912,54.1,74.23,0,19.76,39,0
inc-000119,2026-01-01T13:46:00+00:00,recommendations,us-east1,sre,high,traffic_spike,23,12,140,1.003,35.24,67.8,0,16.86,82,1
inc-000120,2026-01-01T13:53:00+00:00,inventory,europe-west1,payments,medium,dependency_timeout,14,3,379,0.513,59.07,64.65,1,17.31,49,0
inc-000121,2026-01-01T14:00:00+00:00,recommendations,us-east1,backend,medium,quota_exhaustion,15,6,173,4.636,76.19,82.51,0,24.98,61,0
inc-000122,2026-01-01T14:07:00+00:00,recommendations,europe-west1,platform,high,database_latency,32,13,871,0.996,49.96,65.74,0,39.16,106,1
inc-000123,2026-01-01T14:14:00+00:00,inventory,us-east1,payments,critical,database_latency,79,30,949,2.757,35.19,55.0,0,67.55,197,1
inc-000124,2026-01-01T14:21:00+00:00,checkout,asia-south1,ml-platform,critical,traffic_spike,54,12,127,1.262,61.3,60.4,0,31.26,194,1
inc-000125,2026-01-01T14:28:00+00:00,recommendations,us-central1,payments,low,quota_exhaustion,9,1,137,4.177,53.9,56.73,1,20.01,30,0
inc-000126,2026-01-01T14:35:00+00:00,user-profile,asia-south1,payments,low,database_latency,6,1,501,0.801,44.59,61.94,0,17.63,27,0
inc-000127,2026-01-01T14:42:00+00:00,search,us-central1,payments,medium,dependency_timeout,23,6,542,0.382,85.21,96.4,0,25.05,59,0
inc-000128,2026-01-01T14:49:00+00:00,search,europe-west1,platform,medium,dependency_timeout,14,2,329,1.126,66.83,62.08,0,17.9,50,0
inc-000129,2026-01-01T14:56:00+00:00,checkout,us-central1,payments,medium,traffic_spike,14,5,97,0.155,90.99,91.94,0,9.19,26,0
inc-000130,2026-01-01T15:03:00+00:00,search,europe-west1,sre,medium,traffic_spike,21,13,163,1.268,71.98,83.03,0,17.33,67,0
inc-000131,2026-01-01T15:10:00+00:00,payments,asia-south1,backend,low,dependency_timeout,9,4,542,2.813,79.55,48.41,0,26.04,43,0
inc-000132,2026-01-01T15:17:00+00:00,checkout,asia-south1,payments,low,database_latency,8,2,767,0.256,39.74,57.68,1,23.54,36,0
inc-000133,2026-01-01T15:24:00+00:00,user-profile,us-central1,payments,high,traffic_spike,51,21,109,0.07,36.96,26.63,1,25.89,112,1
inc-000134,2026-01-01T15:31:00+00:00,recommendations,asia-south1,sre,medium,dependency_timeout,27,6,963,1.488,56.81,53.19,0,40.69,80,0
inc-000135,2026-01-01T15:38:00+00:00,recommendations,europe-west1,backend,medium,traffic_spike,16,9,241,0.341,72.32,85.96,0,14.25,53,0
inc-000136,2026-01-01T15:45:00+00:00,recommendations,asia-south1,backend,medium,traffic_spike,20,5,172,1.374,77.14,73.18,0,17.42,48,0
inc-000137,2026-01-01T15:52:00+00:00,checkout,asia-south1,sre,medium,database_latency,13,7,627,0.769,58.65,55.81,1,23.83,53,0
inc-000138,2026-01-01T15:59:00+00:00,checkout,asia-south1,payments,low,traffic_spike,7,2,165,0.571,71.37,75.18,1,8.99,16,0
inc-000139,2026-01-01T16:06:00+00:00,payments,europe-west1,ml-platform,critical,traffic_spike,75,18,104,0.065,56.86,53.97,0,36.55,104,1
inc-000140,2026-01-01T16:13:00+00:00,search,us-central1,platform,low,bad_deploy,7,3,161,12.674,97.23,91.66,1,45.2,75,1
inc-000141,2026-01-01T16:20:00+00:00,checkout,europe-west1,ml-platform,critical,traffic_spike,121,19,220,0.0,54.9,64.85,1,59.95,256,1
inc-000142,2026-01-01T16:27:00+00:00,payments,us-central1,ml-platform,low,database_latency,4,1,675,0.809,79.66,58.22,0,21.1,21,0
inc-000143,2026-01-01T16:34:00+00:00,user-profile,us-east1,sre,high,quota_exhaustion,12,5,211,5.781,80.37,68.69,1,28.02,65,1
inc-000144,2026-01-01T16:41:00+00:00,user-profile,europe-west1,backend,critical,traffic_spike,88,14,142,1.177,69.48,71.95,0,46.68,198,1
inc-000145,2026-01-01T16:48:00+00:00,payments,europe-west1,payments,high,bad_deploy,58,23,279,8.235,57.43,67.73,1,57.78,140,1
inc-000146,2026-01-01T16:55:00+00:00,search,us-central1,ml-platform,low,quota_exhaustion,10,4,197,12.708,50.19,88.64,1,47.55,77,1
inc-000147,2026-01-01T17:02:00+00:00,inventory,europe-west1,backend,medium,database_latency,5,0,369,0.214,70.49,82.84,0,12.12,19,0
inc-000148,2026-01-01T17:09:00+00:00,payments,europe-west1,payments,low,traffic_spike,8,5,206,0.0,70.23,78.11,0,8.75,14,0
inc-000149,2026-01-01T17:16:00+00:00,payments,europe-west1,platform,medium,database_latency,12,2,1003,0.668,52.94,52.5,0,32.48,38,0
inc-000150,2026-01-01T17:23:00+00:00,payments,us-central1,payments,critical,bad_deploy,112,55,82,5.807,85.0,69.7,1,69.87,335,1
inc-000151,2026-01-01T17:30:00+00:00,inventory,us-central1,backend,low,quota_exhaustion,13,4,145,3.378,47.91,82.09,0,19.61,40,0
inc-000152,2026-01-01T17:37:00+00:00,inventory,asia-south1,sre,medium,traffic_spike,16,3,134,1.888,57.08,93.12,0,16.21,41,0
inc-000153,2026-01-01T17:44:00+00:00,payments,us-central1,platform,high,bad_deploy,47,21,157,6.912,47.08,67.84,1,45.81,166,1
inc-000154,2026-01-01T17:51:00+00:00,payments,asia-south1,payments,medium,database_latency,12,5,955,0.175,71.95,52.77,0,29.8,44,0
inc-000155,2026-01-01T17:58:00+00:00,recommendations,europe-west1,sre,low,dependency_timeout,7,3,774,2.191,7.05,89.62,0,29.07,35,0
inc-000156,2026-01-01T18:05:00+00:00,checkout,asia-south1,payments,low,database_latency,10,6,622,1.268,91.76,76.39,0,23.85,51,0
inc-000157,2026-01-01T18:12:00+00:00,payments,us-east1,backend,medium,traffic_spike,2,0,129,1.056,35.47,54.71,0,7.29,10,0
inc-000158,2026-01-01T18:19:00+00:00,inventory,asia-south1,platform,low,dependency_timeout,10,3,282,1.796,66.93,54.98,0,16.94,31,0
inc-000159,2026-01-01T18:26:00+00:00,user-profile,europe-west1,platform,low,database_latency,8,3,650,0.628,40.27,73.77,0,21.73,30,0
inc-000160,2026-01-01T18:33:00+00:00,search,asia-south1,platform,low,traffic_spike,6,2,305,0.0,38.36,65.85,0,10.32,13,0
inc-000161,2026-01-01T18:40:00+00:00,payments,us-central1,backend,medium,database_latency,19,7,786,1.31,77.55,60.5,0,32.13,47,0
inc-000162,2026-01-01T18:47:00+00:00,user-profile,europe-west1,sre,low,bad_deploy,4,1,228,4.221,52.52,38.54,1,20.16,26,0
inc-000163,2026-01-01T18:54:00+00:00,payments,us-central1,payments,low,traffic_spike,6,2,205,0.318,72.23,70.91,1,8.78,26,0
inc-000164,2026-01-01T19:01:00+00:00,recommendations,asia-south1,payments,low,traffic_spike,11,2,135,1.743,43.51,62.9,0,13.55,31,0
inc-000165,2026-01-01T19:08:00+00:00,search,us-east1,backend,low,database_latency,8,2,340,0.609,58.38,58.61,1,13.93,23,0
inc-000166,2026-01-01T19:15:00+00:00,recommendations,europe-west1,platform,medium,bad_deploy,16,7,139,5.869,65.59,86.65,1,28.28,68,0
inc-000167,2026-01-01T19:22:00+00:00,payments,us-east1,sre,low,quota_exhaustion,7,3,223,9.381,41.83,37.03,0,36.87,65,1
inc-000168,2026-01-01T19:29:00+00:00,user-profile,asia-south1,backend,low,traffic_spike,16,5,171,0.0,37.72,51.13,0,11.48,44,0
inc-000169,2026-01-01T19:36:00+00:00,inventory,us-central1,ml-platform,medium,dependency_timeout,9,5,626,0.95,67.57,86.84,0,22.55,43,0
inc-000170,2026-01-01T19:43:00+00:00,recommendations,us-central1,platform,medium,dependency_timeout,23,4,528,1.174,67.49,66.32,0,27.07,93,0
inc-000171,2026-01-01T19:50:00+00:00,payments,asia-south1,backend,low,dependency_timeout,3,0,564,1.915,45.9,61.64,0,21.2,27,0
inc-000172,2026-01-01T19:57:00+00:00,inventory,us-central1,ml-platform,high,database_latency,26,16,671,0.0,62.0,93.74,0,28.48,48,1
inc-000173,2026-01-01T20:04:00+00:00,recommendations,us-central1,sre,high,dependency_timeout,27,12,726,0.356,66.82,54.32,0,31.37,52,1
inc-000174,2026-01-01T20:11:00+00:00,payments,asia-south1,sre,low,traffic_spike,7,2,218,0.833,85.84,63.72,1,11.1,29,0
inc-000175,2026-01-01T20:18:00+00:00,user-profile,us-east1,payments,high,dependency_timeout,52,32,809,0.568,57.42,57.17,0,45.33,135,1
inc-000176,2026-01-01T20:25:00+00:00,recommendations,us-east1,payments,medium,quota_exhaustion,14,8,165,6.188,62.85,62.71,0,28.99,71,0
inc-000177,2026-01-01T20:32:00+00:00,payments,asia-south1,ml-platform,low,bad_deploy,7,0,150,6.776,80.3,62.69,1,27.23,52,0
inc-000178,2026-01-01T20:39:00+00:00,recommendations,us-central1,ml-platform,medium,database_latency,17,7,881,1.116,38.68,69.03,0,33.02,61,0
inc-000179,2026-01-01T20:46:00+00:00,inventory,europe-west1,ml-platform,medium,bad_deploy,26,2,331,7.01,84.72,61.24,1,41.01,85,0
inc-000180,2026-01-01T20:53:00+00:00,recommendations,us-central1,payments,medium,database_latency,18,2,1036,1.573,66.28,68.5,0,38.72,72,0
inc-000181,2026-01-01T21:00:00+00:00,checkout,europe-west1,sre,medium,dependency_timeout,18,8,839,2.202,51.17,42.46,0,35.68,50,0
inc-000182,2026-01-01T21:07:00+00:00,recommendations,europe-west1,payments,medium,dependency_timeout,19,8,838,0.16,78.49,60.69,0,29.98,70,0
inc-000183,2026-01-01T21:14:00+00:00,search,europe-west1,platform,medium,quota_exhaustion,12,5,163,10.575,78.93,68.75,0,41.2,85,1
inc-000184,2026-01-01T21:21:00+00:00,inventory,us-east1,backend,low,bad_deploy,10,2,291,10.659,35.13,87.5,1,43.75,69,1
inc-000185,2026-01-01T21:28:00+00:00,search,us-east1,backend,medium,bad_deploy,9,2,149,3.491,98.6,83.91,1,18.25,44,0
inc-000186,2026-01-01T21:35:00+00:00,checkout,asia-south1,backend,medium,traffic_spike,33,19,179,0.704,83.54,75.19,0,21.44,88,0
inc-000187,2026-01-01T21:42:00+00:00,checkout,asia-south1,ml-platform,medium,bad_deploy,24,4,209,12.507,40.42,46.28,1,53.55,87,1
